油烟机	产品	集成灶	下游	下游
云南锗业 002428	公司	金属	产品	主营产品
家电	产品	智慧家电	下位产品	下位产品
万和电气 002543	公司	吸油烟机	产品	主营产品
老板电器 002508	公司	消毒柜	产品	主营产品
界龙实业 600836	公司	房地产业	产品	主营产品
北斗星通 002151	公司	芯片	产品	主营产品
老板电器 002508	公司	厨具	产品	主营产品
洛阳钼业 603993	公司	金属	产品	主营产品
文峰股份 601010	公司	家电	产品	主营产品
富安娜 002327	公司	大家居	产品	主营产品
家居	产品	服饰家居	下位产品	下位产品
海德股份 000567	公司	房地产开发	产品	主营产品
金晶科技 600586	公司	玻璃	产品	主营产品
扬杰科技 300373	公司	芯片	产品	主营产品
华发股份 600325	公司	房地产开发	产品	主营产品
晓程科技 300139	公司	芯片	产品	主营产品
四川长虹 600839	公司	家电	产品	主营产品
人人乐 002336	公司	家电	产品	主营产品
家居	产品	办公家居	下位产品	下位产品
爱仕达 002403	公司	小家电	产品	主营产品
宝钢股份 600019	公司	不锈钢	产品	主营产品
金杯电工 002533	公司	电缆	产品	主营产品
家居	产品	地毯	上游	上游
九阳股份 002242	公司	厨具	产品	主营产品
哈尔斯 002615	公司	不锈钢	产品	主营产品
家电	产品	保温材料	上游	上游
万家乐 000533	公司	厨电	产品	主营产品
鞍钢股份 000898	公司	板材	产品	主营产品
浙江美大 002677	公司	燃气灶	产品	主营产品
老板电器 002508	公司	消毒柜	产品	主营产品
厨卫	产品	防水涂料	上游	上游
华帝股份 002035	公司	厨电	产品	主营产品
德尔未来 002631	公司	家居	产品	主营产品
美的集团 000333	公司	家居	产品	主营产品
老板电器 002508	公司	油烟机	产品	主营产品
苏泊尔 002032	公司	厨电	产品	主营产品
海格通信 002465	公司	芯片	产品	主营产品
华帝股份 002035	公司	厨卫	产品	主营产品
格力电器 000651	公司	厨卫	产品	主营产品
家居	产品	服饰家居	下位产品	下位产品
华帝股份 002035	公司	烟机	产品	主营产品
万家乐 000533	公司	厨卫	产品	主营产品
家居	产品	办公家居	下位产品	下位产品
北京君正 300223	公司	芯片	产品	主营产品
乾照光电 300102	公司	芯片	产品	主营产品
雅克科技 002409	公司	保温材料	产品	主营产品
太阳电缆 002300	公司	电缆	产品	主营产品
八一钢铁 600581	公司	板材	产品	主营产品
富安娜 002327	公司	瓷砖	产品	主营产品
家电	产品	智慧家电	下位产品	下位产品
家居	产品	房地产开发	上游	上游
中利集团 002309	公司	电缆	产品	主营产品
山东黄金 600547	公司	金属	产品	主营产品
家电	产品	小家电	下位产品	下位产品
家电	产品	大家电	下位产品	下位产品
和邦生物 603077	公司	玻璃	产品	主营产品
金轮股份 002722	公司	不锈钢	产品	主营产品
家居	产品	密度板	上游	上游
亚厦股份 002375	公司	智能家居	产品	主营产品
华帝股份 002035	公司	厨卫家电	产品	主营产品
中金岭南 000060	公司	金属	产品	主营产品
老板电器 002508	公司	厨房家电	产品	主营产品
建发股份 600153	公司	房地产开发	产品	主营产品
好莱客 603898	公司	家居	产品	主营产品
厨具	产品	房地产	上游	上游
家电	产品	厨卫家电	下位产品	下位产品
宝胜股份 600973	公司	电缆	产品	主营产品
油烟机	产品	吸油烟机	下位产品	下位产品
青岛海尔 600690	公司	厨卫	产品	主营产品
家电	产品	智能家电	下位产品	下位产品
中科三环 000970	公司	家电	产品	主营产品
老板电器 002508	公司	厨房家电	产品	主营产品
迪马股份 600565	公司	房地产	产品	主营产品
老板电器 002508	公司	厨房大电器	产品	主营产品
美菱电器 000521	公司	智能家居	产品	主营产品
西藏珠峰 600338	公司	金属	产品	主营产品
家电	产品	智能家电	下位产品	下位产品
银泰资源 000975	公司	金属	产品	主营产品
步步高 002251	公司	家电	产品	主营产品
恒邦股份 002237	公司	金属	产品	主营产品
永兴特钢 002756	公司	不锈钢	产品	主营产品
福日电子 600203	公司	智慧家电	产品	主营产品
英唐智控 300131	公司	家电	产品	主营产品
北京城建 600266	公司	房地产开发	产品	主营产品
湖北广电 000665	公司	塑料	产品	主营产品
大亚圣象 000910	公司	家居	产品	主营产品
跨境通 002640	公司	服饰家居	产品	主营产品
家电	产品	彩晶玻璃	上游	上游
德豪润达 002005	公司	芯片	产品	主营产品
索菲亚 002572	公司	橱柜	产品	主营产品
老板电器 002508	公司	厨房电器	产品	主营产品
万家乐 000533	公司	厨卫家电	产品	主营产品
德尔未来 002631	公司	密度板	产品	主营产品
秀强股份 300160	公司	彩晶玻璃	产品	主营产品
万和电气 002543	公司	燃气灶	产品	主营产品
新潮能源 600777	公司	房地产	产品	主营产品
家居	产品	地产	上游	上游
小商品城 600415	公司	房地产	产品	主营产品
中颖电子 300327	公司	芯片	产品	主营产品
美菱电器 000521	公司	厨具	产品	主营产品
家居	产品	PVC管	上游	上游
常熟汽饰 603035	公司	地毯	产品	主营产品
